#k	tpr	fpr
5	0.0	0.00310752019888
10	0.0	0.00621504039776
15	0.0	0.00932256059664
20	0.0	0.0124300807955
25	0.0	0.0155376009944
30	0.0	0.0186451211933
35	0.0	0.0217526413922
40	0.0	0.0248601615911
45	0.0	0.0279676817899
50	0.0	0.0310752019888
55	0.0	0.0341827221877
60	0.0	0.0372902423866
65	0.0	0.0403977625855
70	0.0	0.0435052827843
75	0.0	0.0466128029832
80	0.0	0.0497203231821
85	0.000989119683482	0.0522063393412
90	0.000989119683482	0.0553138595401
95	0.000989119683482	0.058421379739
100	0.000989119683482	0.0615288999378
105	0.000989119683482	0.0646364201367
110	0.000989119683482	0.0677439403356
115	0.000989119683482	0.0708514605345
120	0.000989119683482	0.0739589807334
125	0.000989119683482	0.0770665009323
130	0.000989119683482	0.0801740211311
135	0.000989119683482	0.08328154133
140	0.000989119683482	0.0863890615289
145	0.000989119683482	0.0894965817278
150	0.000989119683482	0.0926041019267
155	0.000989119683482	0.0957116221255
160	0.00197823936696	0.0981976382846
165	0.00197823936696	0.101305158484
170	0.00197823936696	0.104412678682
175	0.00197823936696	0.107520198881
180	0.00197823936696	0.11062771908
185	0.00197823936696	0.113735239279
190	0.00692383778437	0.113735239279
195	0.0108803165183	0.114356743319
200	0.0158259149357	0.114356743319
205	0.0207715133531	0.114356743319
210	0.0257171117705	0.114356743319
215	0.0296735905045	0.114978247359
220	0.0346191889219	0.114978247359
225	0.0395647873393	0.114978247359
230	0.0445103857567	0.114978247359
235	0.0494559841741	0.114978247359
240	0.053412462908	0.115599751398
245	0.0583580613254	0.115599751398
250	0.0633036597428	0.115599751398
255	0.0652818991098	0.117464263518
260	0.0692383778437	0.118085767557
265	0.0741839762611	0.118085767557
270	0.0791295746785	0.118085767557
275	0.0840751730959	0.118085767557
280	0.0890207715134	0.118085767557
285	0.0929772502473	0.118707271597
290	0.0979228486647	0.118707271597
295	0.102868447082	0.118707271597
300	0.1078140455	0.118707271597
305	0.112759643917	0.118707271597
310	0.117705242334	0.118707271597
315	0.122650840752	0.118707271597
320	0.127596439169	0.118707271597
325	0.132542037587	0.118707271597
330	0.13649851632	0.119328775637
335	0.140454995054	0.119950279677
340	0.145400593472	0.119950279677
345	0.149357072206	0.120571783717
350	0.154302670623	0.120571783717
355	0.159248269041	0.120571783717
360	0.163204747774	0.121193287756
365	0.168150346192	0.121193287756
370	0.173095944609	0.121193287756
375	0.178041543027	0.121193287756
380	0.182987141444	0.121193287756
385	0.187932739862	0.121193287756
390	0.192878338279	0.121193287756
395	0.197823936696	0.121193287756
400	0.20178041543	0.121814791796
405	0.206726013848	0.121814791796
410	0.210682492582	0.122436295836
415	0.215628090999	0.122436295836
420	0.218595450049	0.123679303915
425	0.223541048467	0.123679303915
430	0.228486646884	0.123679303915
435	0.233432245302	0.123679303915
440	0.238377843719	0.123679303915
445	0.243323442136	0.123679303915
450	0.248269040554	0.123679303915
455	0.253214638971	0.123679303915
460	0.257171117705	0.124300807955
465	0.262116716123	0.124300807955
470	0.266073194857	0.124922311995
475	0.271018793274	0.124922311995
480	0.275964391691	0.124922311995
485	0.280909990109	0.124922311995
490	0.285855588526	0.124922311995
495	0.290801186944	0.124922311995
500	0.291790306627	0.127408328154
505	0.296735905045	0.127408328154
510	0.301681503462	0.127408328154
515	0.306627101879	0.127408328154
520	0.311572700297	0.127408328154
525	0.316518298714	0.127408328154
530	0.321463897132	0.127408328154
535	0.326409495549	0.127408328154
540	0.330365974283	0.128029832194
545	0.3353115727	0.128029832194
550	0.340257171118	0.128029832194
555	0.345202769535	0.128029832194
560	0.350148367953	0.128029832194
565	0.35509396637	0.128029832194
570	0.360039564787	0.128029832194
575	0.364985163205	0.128029832194
580	0.369930761622	0.128029832194
585	0.37487636004	0.128029832194
590	0.379821958457	0.128029832194
595	0.384767556874	0.128029832194
600	0.389713155292	0.128029832194
605	0.393669634026	0.128651336234
610	0.398615232443	0.128651336234
615	0.403560830861	0.128651336234
620	0.408506429278	0.128651336234
625	0.413452027695	0.128651336234
630	0.418397626113	0.128651336234
635	0.422354104847	0.129272840273
640	0.427299703264	0.129272840273
645	0.432245301682	0.129272840273
650	0.437190900099	0.129272840273
655	0.442136498516	0.129272840273
660	0.447082096934	0.129272840273
665	0.452027695351	0.129272840273
670	0.455984174085	0.129894344313
675	0.460929772502	0.129894344313
680	0.46587537092	0.129894344313
685	0.470820969337	0.129894344313
690	0.474777448071	0.130515848353
695	0.479723046489	0.130515848353
700	0.484668644906	0.130515848353
705	0.489614243323	0.130515848353
710	0.494559841741	0.130515848353
715	0.499505440158	0.130515848353
720	0.504451038576	0.130515848353
725	0.509396636993	0.130515848353
730	0.512363996044	0.131758856433
735	0.517309594461	0.131758856433
740	0.522255192878	0.131758856433
745	0.526211671612	0.132380360472
750	0.530168150346	0.133001864512
755	0.535113748764	0.133001864512
760	0.540059347181	0.133001864512
765	0.543026706231	0.134244872592
770	0.545994065282	0.135487880671
775	0.548961424332	0.136730888751
780	0.552917903066	0.137352392791
785	0.557863501484	0.137352392791
790	0.562809099901	0.137352392791
795	0.566765578635	0.13797389683
800	0.571711177052	0.13797389683
805	0.57665677547	0.13797389683
810	0.580613254204	0.13859540087
815	0.585558852621	0.13859540087
820	0.589515331355	0.13921690491
825	0.593471810089	0.13983840895
830	0.598417408506	0.13983840895
835	0.603363006924	0.13983840895
840	0.607319485658	0.140459912989
845	0.609297725025	0.142324425109
850	0.614243323442	0.142324425109
855	0.61918892186	0.142324425109
860	0.624134520277	0.142324425109
865	0.628090999011	0.142945929149
870	0.632047477745	0.143567433188
875	0.636003956479	0.144188937228
880	0.640949554896	0.144188937228
885	0.645895153314	0.144188937228
890	0.648862512364	0.145431945308
895	0.653808110781	0.145431945308
900	0.657764589515	0.146053449347
905	0.662710187933	0.146053449347
910	0.66765578635	0.146053449347
915	0.672601384768	0.146053449347
920	0.676557863501	0.146674953387
925	0.681503461919	0.146674953387
930	0.686449060336	0.146674953387
935	0.69040553907	0.147296457427
940	0.694362017804	0.147917961467
945	0.698318496538	0.148539465507
950	0.702274975272	0.149160969546
955	0.706231454006	0.149782473586
960	0.711177052423	0.149782473586
965	0.716122650841	0.149782473586
970	0.721068249258	0.149782473586
975	0.726013847676	0.149782473586
980	0.730959446093	0.149782473586
985	0.734915924827	0.150403977626
990	0.739861523244	0.150403977626
995	0.743818001978	0.151025481666
1000	0.747774480712	0.151646985705
1005	0.751730959446	0.152268489745
1010	0.751730959446	0.155376009944
1015	0.751730959446	0.158483530143
1020	0.756676557864	0.158483530143
1025	0.759643916914	0.159726538222
1030	0.763600395648	0.160348042262
1035	0.766567754698	0.161591050342
1040	0.768545994065	0.163455562461
1045	0.773491592483	0.163455562461
1050	0.776458951533	0.164698570541
1055	0.779426310584	0.16594157862
1060	0.781404549951	0.16780609074
1065	0.781404549951	0.170913610938
1070	0.785361028684	0.171535114978
1075	0.785361028684	0.174642635177
1080	0.787339268051	0.176507147296
1085	0.787339268051	0.179614667495
1090	0.787339268051	0.182722187694
1095	0.789317507418	0.184586699814
1100	0.790306627102	0.187072715973
1105	0.794263105836	0.187694220012
1110	0.797230464886	0.188937228092
1115	0.797230464886	0.192044748291
1120	0.797230464886	0.19515226849
1125	0.799208704253	0.197016780609
1130	0.799208704253	0.200124300808
1135	0.799208704253	0.203231821007
1140	0.799208704253	0.206339341206
1145	0.799208704253	0.209446861405
1150	0.799208704253	0.212554381603
1155	0.799208704253	0.215661901802
1160	0.799208704253	0.218769422001
1165	0.802176063304	0.220012430081
1170	0.805143422354	0.22125543816
1175	0.809099901088	0.2218769422
1180	0.811078140455	0.223741454319
1185	0.814045499505	0.224984462399
1190	0.818001978239	0.225605966439
1195	0.821958456973	0.226227470479
1200	0.822947576657	0.228713486638
1205	0.826904055391	0.229334990677
1210	0.830860534125	0.229956494717
1215	0.835806132542	0.229956494717
1220	0.839762611276	0.230577998757
1225	0.844708209693	0.230577998757
1230	0.848664688427	0.231199502797
1235	0.853610286845	0.231199502797
1240	0.856577645895	0.232442510876
1245	0.860534124629	0.233064014916
1250	0.864490603363	0.233685518956
1255	0.86646884273	0.235550031075
1260	0.871414441147	0.235550031075
1265	0.875370919881	0.236171535115
1270	0.880316518299	0.236171535115
1275	0.885262116716	0.236171535115
1280	0.888229475767	0.237414543195
1285	0.893175074184	0.237414543195
1290	0.897131552918	0.238036047234
1295	0.902077151335	0.238036047234
1300	0.907022749753	0.238036047234
1305	0.909990108803	0.239279055314
1310	0.912957467854	0.240522063393
1315	0.916913946588	0.241143567433
1320	0.920870425321	0.241765071473
1325	0.922848664688	0.243629583592
1330	0.924826904055	0.245494095712
1335	0.927794263106	0.246737103791
1340	0.930761622156	0.247980111871
1345	0.93471810089	0.248601615911
1350	0.937685459941	0.24984462399
1355	0.940652818991	0.25108763207
1360	0.943620178042	0.252330640149
1365	0.945598417409	0.254195152268
1370	0.948565776459	0.255438160348
1375	0.952522255193	0.256059664388
1380	0.955489614243	0.257302672467
1385	0.960435212661	0.257302672467
1390	0.965380811078	0.257302672467
1395	0.969337289812	0.257924176507
1400	0.974282888229	0.257924176507
1405	0.978239366963	0.258545680547
1410	0.981206726014	0.259788688626
1415	0.985163204748	0.260410192666
1420	0.989119683482	0.261031696706
1425	0.990108803165	0.263517712865
1430	0.991097922849	0.266003729024
1435	0.992087042532	0.268489745183
1440	0.992087042532	0.271597265382
1445	0.992087042532	0.274704785581
1450	0.992087042532	0.27781230578
1455	0.992087042532	0.280919825979
1460	0.992087042532	0.284027346178
1465	0.992087042532	0.287134866377
1470	0.992087042532	0.290242386576
1475	0.992087042532	0.293349906774
1480	0.992087042532	0.296457426973
1485	0.994065281899	0.298321939093
1490	0.994065281899	0.301429459291
1495	0.994065281899	0.30453697949
1500	0.996043521266	0.30640149161
1505	0.996043521266	0.309509011809
1510	0.996043521266	0.312616532007
1515	0.996043521266	0.315724052206
1520	0.996043521266	0.318831572405
1525	0.996043521266	0.321939092604
1530	0.996043521266	0.325046612803
1535	0.996043521266	0.328154133002
1540	0.996043521266	0.331261653201
1545	0.996043521266	0.3343691734
1550	0.996043521266	0.337476693599
1555	0.996043521266	0.340584213797
1560	0.996043521266	0.343691733996
1565	0.996043521266	0.346799254195
1570	0.996043521266	0.349906774394
1575	0.996043521266	0.353014294593
1580	0.996043521266	0.356121814792
1585	0.996043521266	0.359229334991
1590	0.996043521266	0.36233685519
1595	0.996043521266	0.365444375388
1600	0.996043521266	0.368551895587
1605	0.996043521266	0.371659415786
1610	0.996043521266	0.374766935985
1615	0.996043521266	0.377874456184
1620	0.996043521266	0.380981976383
1625	0.996043521266	0.384089496582
1630	0.996043521266	0.387197016781
1635	0.996043521266	0.390304536979
1640	0.996043521266	0.393412057178
1645	0.996043521266	0.396519577377
1650	0.996043521266	0.399627097576
1655	0.996043521266	0.402734617775
1660	0.996043521266	0.405842137974
1665	0.996043521266	0.408949658173
1670	0.996043521266	0.412057178372
1675	0.996043521266	0.415164698571
1680	0.996043521266	0.418272218769
1685	0.996043521266	0.421379738968
1690	0.996043521266	0.424487259167
1695	0.996043521266	0.427594779366
1700	0.998021760633	0.429459291485
1705	0.998021760633	0.432566811684
