#k	tpr	fpr
5	0.00481695568401	0.0
10	0.00963391136802	0.0
15	0.0134874759152	0.000744047619048
20	0.0173410404624	0.0014880952381
25	0.0221579961464	0.0014880952381
30	0.0260115606936	0.00223214285714
35	0.0298651252408	0.00297619047619
40	0.0337186897881	0.00372023809524
45	0.0375722543353	0.00446428571429
50	0.0423892100193	0.00446428571429
55	0.0462427745665	0.00520833333333
60	0.0500963391137	0.00595238095238
65	0.0539499036609	0.00669642857143
70	0.0587668593449	0.00669642857143
75	0.0635838150289	0.00669642857143
80	0.0684007707129	0.00669642857143
85	0.0732177263969	0.00669642857143
90	0.0780346820809	0.00669642857143
95	0.0818882466281	0.00744047619048
100	0.0867052023121	0.00744047619048
105	0.0915221579961	0.00744047619048
110	0.0944123314066	0.00892857142857
115	0.0982658959538	0.00967261904762
120	0.102119460501	0.0104166666667
125	0.105973025048	0.0111607142857
130	0.109826589595	0.0119047619048
135	0.112716763006	0.0133928571429
140	0.116570327553	0.0141369047619
145	0.1204238921	0.014880952381
150	0.125240847784	0.014880952381
155	0.128131021195	0.016369047619
160	0.132947976879	0.016369047619
165	0.137764932563	0.016369047619
170	0.142581888247	0.016369047619
175	0.145472061657	0.0178571428571
180	0.148362235067	0.0193452380952
185	0.153179190751	0.0193452380952
190	0.157032755299	0.0200892857143
195	0.161849710983	0.0200892857143
200	0.16570327553	0.0208333333333
205	0.169556840077	0.0215773809524
210	0.174373795761	0.0215773809524
215	0.179190751445	0.0215773809524
220	0.183044315992	0.0223214285714
225	0.186897880539	0.0230654761905
230	0.190751445087	0.0238095238095
235	0.195568400771	0.0238095238095
240	0.199421965318	0.0245535714286
245	0.203275529865	0.0252976190476
250	0.207129094412	0.0260416666667
255	0.21098265896	0.0267857142857
260	0.214836223507	0.0275297619048
265	0.217726396917	0.0290178571429
270	0.221579961464	0.0297619047619
275	0.226396917148	0.0297619047619
280	0.229287090559	0.03125
285	0.233140655106	0.031994047619
290	0.236994219653	0.0327380952381
295	0.2408477842	0.0334821428571
300	0.243737957611	0.0349702380952
305	0.246628131021	0.0364583333333
310	0.250481695568	0.0372023809524
315	0.254335260116	0.0379464285714
320	0.258188824663	0.0386904761905
325	0.263005780347	0.0386904761905
330	0.265895953757	0.0401785714286
