#k	tpr	fpr
5	0.0	0.00267665952891
10	0.0	0.00535331905782
15	0.000856164383562	0.00749464668094
20	0.000856164383562	0.0101713062099
25	0.000856164383562	0.0128479657388
30	0.000856164383562	0.0155246252677
35	0.000856164383562	0.0182012847966
40	0.000856164383562	0.0208779443255
45	0.000856164383562	0.0235546038544
50	0.00256849315068	0.0251605995717
55	0.00256849315068	0.0278372591006
60	0.00256849315068	0.0305139186296
65	0.00342465753425	0.0326552462527
70	0.00342465753425	0.0353319057816
75	0.00428082191781	0.0374732334047
80	0.00513698630137	0.0396145610278
85	0.00684931506849	0.0412205567452
90	0.00856164383562	0.0428265524625
95	0.0102739726027	0.0444325481799
100	0.0145547945205	0.0444325481799
105	0.0162671232877	0.0460385438972
110	0.0205479452055	0.0460385438972
115	0.0248287671233	0.0460385438972
120	0.0291095890411	0.0460385438972
125	0.0316780821918	0.0471092077088
130	0.0359589041096	0.0471092077088
135	0.0402397260274	0.0471092077088
140	0.0436643835616	0.0476445396146
145	0.0462328767123	0.0487152034261
150	0.048801369863	0.0497858672377
155	0.0530821917808	0.0497858672377
160	0.0565068493151	0.0503211991435
165	0.0607876712329	0.0503211991435
170	0.0633561643836	0.051391862955
175	0.0667808219178	0.0519271948608
180	0.0710616438356	0.0519271948608
185	0.0719178082192	0.0540685224839
190	0.0719178082192	0.0567451820128
195	0.0719178082192	0.0594218415418
200	0.0719178082192	0.0620985010707
205	0.0736301369863	0.063704496788
210	0.0770547945205	0.0642398286938
215	0.0804794520548	0.0647751605996
220	0.0847602739726	0.0647751605996
225	0.0873287671233	0.0658458244111
230	0.0907534246575	0.0663811563169
235	0.0941780821918	0.0669164882227
240	0.0958904109589	0.06852248394
245	0.0993150684932	0.0690578158458
250	0.103595890411	0.0690578158458
255	0.107876712329	0.0690578158458
260	0.110445205479	0.0701284796574
265	0.114726027397	0.0701284796574
270	0.116438356164	0.0717344753747
275	0.119006849315	0.0728051391863
280	0.122431506849	0.0733404710921
285	0.124143835616	0.0749464668094
290	0.126712328767	0.076017130621
295	0.129280821918	0.0770877944325
300	0.133561643836	0.0770877944325
305	0.13698630137	0.0776231263383
310	0.140410958904	0.0781584582441
315	0.143835616438	0.0786937901499
